structure_type,word_order,seed,split,perplexity,mean_surp,f1,top_ll_per_word,top_ten_neg_entropy_per_word,top_ll_per_sent,top_ten_neg_entropy_per_sent
no-reduction,000000,3435,cc,32.19557776546345,3.471829106642555,96.74,-77.29432269553264,-0.0060116615614059085,-1175.5307067149993,-0.09142835485664176
no-reduction,000000,3436,cc,32.52512499279198,3.4820128673671102,96.68,-77.6788356754553,-0.006127183534229532,-1181.3785723701467,-0.09318527078032983
no-reduction,000000,3437,cc,32.499512344375574,3.481225084434675,96.92,-77.57957719525291,-0.006071130263247846,-1179.868999773999,-0.09233278460860486
structure-reduction,000000,3435,cc,33.857714121426156,3.522166864722213,96.32,-43.51007666608546,-0.007500242498077692,-524.3399339029997,-0.09038542234433425
structure-reduction,000000,3436,cc,34.81043386348297,3.5499171655056,94.33,-44.10385538518005,-0.007664998746461925,-531.4955612468005,-0.09237089989361266
structure-reduction,000000,3437,cc,34.963899814781506,3.554316095332072,96.85,-44.02529292598932,-0.007828924667187416,-530.5488050511,-0.09434637116427555
linear-reduction,000000,3435,cc,93.54293694763543,4.538420549577295,88.96,-36.72089962223077,-0.010124301509054034,-357.0373070269502,-0.09843858357253236
linear-reduction,000000,3436,cc,96.50613287489726,4.569606559433271,88.73,-36.91313358229429,-0.009100352802401391,-358.90639782065114,-0.0884827302977487
linear-reduction,000000,3437,cc,95.83704157375405,4.562649265503326,88.63,-37.16158843011396,-0.010223290717483614,-361.3221243060006,-0.09940105564609318
no-reduction,000001,3435,cc,33.54860234691831,3.512995203739754,99.42,-79.142192247109,-0.0051085423823491695,-1203.6340307901514,-0.07769326682195733
no-reduction,000001,3436,cc,33.2662913389996,3.5045446121908603,99.47,-78.73637134246631,-0.00517373293144328,-1197.4621035619025,-0.07868471728785512
no-reduction,000001,3437,cc,33.82732790417916,3.5212689936895885,99.27,-79.25665654774964,-0.005006715469309456,-1205.3748611064477,-0.07614463221499287
